x_id	y_id	prob	x_name	y_name
932	703	0.9661	carol campbell	bebe moore campbell
161	705	0.9956	brendan brazier	belinda bauer
242	706	0.8567	andrea boeshaar	bella andre
242	708	0.8567	andrea boeshaar	bella andre
242	709	0.8567	andrea boeshaar	bella andre
242	710	0.8567	andrea boeshaar	bella andre
242	711	0.8567	andrea boeshaar	bella andre
844	717	0.79	bill cameron	ben carson
531	717	0.9943	beth harbison	ben carson
894	717	0.9625	ben parr	ben carson
844	719	0.79	bill cameron	ben carson
531	719	0.9943	beth harbison	ben carson
894	719	0.9625	ben parr	ben carson
894	723	0.9625	ben parr	ben lerner
894	726	0.9582	ben parr	ben r. rich
75	728	0.9456	betsy schow	ben schoen
739	728	0.9625	ann shen	ben schoen
75	729	0.9456	betsy schow	ben schott
487	729	0.933	scott reardon	ben schott
813	729	0.9839	scott mcewen	ben schott
405	733	0.8565	melanie benjamin	benjamin graham
758	733	0.96	benjamin carter hett	benjamin graham
856	733	0.9982	benjamin adams	benjamin graham
758	734	0.9893	benjamin carter hett	benjamin hoff
405	734	0.9735	melanie benjamin	benjamin hoff
856	734	0.9749	benjamin adams	benjamin hoff
636	740	0.999	leonard goldberg	bernard goldberg
994	740	0.9527	alison goldberg	bernard goldberg
99	749	0.9085	elizabeth heaney	beth hahn
531	749	0.9993	beth harbison	beth hahn
47	749	0.9886	beth ain	beth hahn
439	749	0.9262	beth cato	beth hahn
582	749	0.9685	beth wareham	beth hahn
30	750	0.7695	hannah harrison	beth harbison
518	750	0.9803	harrison	beth harbison
531	750	1.0	beth harbison	beth harbison
439	750	0.8618	beth cato	beth harbison
531	751	0.997	beth harbison	beth harwood
439	751	0.9685	beth cato	beth harwood
688	752	0.9814	elizabeth kelly	beth kery
237	753	0.7994	best wine blog	beth kobliner
582	754	0.79	beth wareham	beth moore
439	757	0.8618	beth cato	bethany chase
817	757	0.8683	caleb behn	bethany chase
562	765	0.9843	lee	bette lee crosby
843	771	0.9793	budd friedman	betty friedan
510	777	0.9421	beverly jones	beverly ann donofrio
853	777	0.788	beverly conyers	beverly ann donofrio
351	778	0.9982	bree barton	beverly barton
494	778	0.8158	chris barton	beverly barton
510	778	0.9013	beverly jones	beverly barton
351	779	0.9982	bree barton	beverly barton
494	779	0.8158	chris barton	beverly barton
510	779	0.9013	beverly jones	beverly barton
853	780	0.8252	beverly conyers	beverly charette
510	780	0.9254	beverly jones	beverly charette
853	781	0.9956	beverly conyers	beverly clark
510	781	0.8636	beverly jones	beverly clark
853	782	0.9815	beverly conyers	beverly cleary
510	782	0.9748	beverly jones	beverly cleary
510	783	1.0	beverly jones	beverly jenkins
853	783	0.9343	beverly conyers	beverly jenkins
510	784	0.9998	beverly jones	beverly lewis
853	784	0.9956	beverly conyers	beverly lewis
510	785	0.9956	beverly jones	beverly preston
853	785	0.9262	beverly conyers	beverly preston
510	786	0.9991	beverly jones	bevery jenkins
424	788	0.79	bill baldwin	bill amend
844	788	0.8952	bill cameron	bill amend
844	791	0.9903	bill cameron	bill bryson
758	795	0.9246	benjamin carter hett	bill carter
844	795	0.9999	bill cameron	bill carter
592	796	0.79	bill clinton	bill clegg
844	796	0.79	bill cameron	bill clegg
592	797	1.0	bill clinton	bill clinton
844	797	0.9262	bill cameron	bill clinton
592	798	0.79	bill clinton	bill cosby
844	798	0.79	bill cameron	bill cosby
592	799	0.79	bill clinton	bill cosby
844	799	0.79	bill cameron	bill cosby
592	800	0.79	bill clinton	bill cosby
844	800	0.79	bill cameron	bill cosby
592	801	0.79	bill clinton	bill cosby
844	801	0.79	bill cameron	bill cosby
592	802	0.79	bill clinton	bill cosby
844	802	0.79	bill cameron	bill cosby
592	803	0.79	bill clinton	bill cosby
844	803	0.79	bill cameron	bill cosby
592	807	0.79	bill clinton	bill frist
844	808	0.79	bill cameron	bill gates
844	809	0.79	bill cameron	bill gates
592	810	0.79	bill clinton	bill geist
844	811	0.79	bill cameron	bill gertz
844	812	0.9903	bill cameron	bill glazer
636	813	0.9674	leonard goldberg	bill goldberg
994	813	0.999	alison goldberg	bill goldberg
844	816	0.9903	bill cameron	bill madden
712	816	0.9999	kelly madden	bill madden
844	817	0.9988	bill cameron	bill maher
448	818	1.0	martin	bill martin jr.
742	818	0.9969	lex martin	bill martin jr.
799	818	0.9552	kat martin	bill martin jr.
950	818	1.0	martin	bill martin jr.
448	819	1.0	martin	bill martin jr.
742	819	0.9969	lex martin	bill martin jr.
799	819	0.9552	kat martin	bill martin jr.
950	819	1.0	martin	bill martin jr.
448	820	1.0	martin	bill martin jr.
742	820	0.9969	lex martin	bill martin jr.
799	820	0.9552	kat martin	bill martin jr.
950	820	1.0	martin	bill martin jr.
844	821	0.9858	bill cameron	bill mcdermott
986	822	0.9928	diana murray	bill murray
844	823	0.9903	bill cameron	bill napier
592	824	0.8248	bill clinton	bill nye
844	824	0.8248	bill cameron	bill nye
448	827	0.9839	martin	bill o'reilly and martin dugard
950	827	0.9839	martin	bill o'reilly and martin dugard
448	828	0.9839	martin	bill o'reilly and martin dugard
950	828	0.9839	martin	bill o'reilly and martin dugard
214	835	0.9984	patrick phillips	bill phillips
374	835	0.9112	phillip carlo	bill phillips
214	836	0.9984	patrick phillips	bill phillips
374	836	0.9112	phillip carlo	bill phillips
844	838	0.9999	bill cameron	bill sammon
592	840	0.9993	bill clinton	bill scollon
844	840	0.9262	bill cameron	bill scollon
592	841	0.9262	bill clinton	bill simmons
844	841	0.9262	bill cameron	bill simmons
844	842	0.9999	bill cameron	bill watterson
844	843	0.79	bill cameron	bill zehme
59	851	0.7695	blanche vaughan	blaine harden
791	851	0.9992	ken blanchard	blaine harden
643	852	0.997	laird barron	blair babylon
729	853	0.8914	rosie blake	blake crouch
173	854	0.997	luke harris	blake j. harris
397	854	0.9287	charlaine harris	blake j. harris
729	855	0.9994	rosie blake	blake mycoskie
720	870	0.8264	bodeen	bob greene
888	870	0.8264	bodeen	bob greene
720	872	0.8264	bodeen	bob greene
888	872	0.8264	bodeen	bob greene
720	873	0.8264	bodeen	bob greene
888	873	0.8264	bodeen	bob greene
720	874	0.8264	bodeen	bob greene
888	874	0.8264	bodeen	bob greene
126	875	0.9355	harper lee	bob harper
